" is required."," wird benötigt."
"a Full Service Digital Agency.","eine Full-Service-Digitalagentur."
"Billing Address","Rechnungsadresse"
"Billing Info","Rechnungsinfo"
"Branding","Branding"
"Calculate Handling Fee","Bearbeitungsgebühr berechnen"
"Cancel","Stornieren"
"Change service point","Servicepunkt ändern"
"Clear search","Suche löschen"
"Closed","Geschlossen"
"Closed tomorrow","Morgen geschlossen"
"Connect to Sendcloud","Verbinden Sie sich mit Sendcloud"
"Could not find any service points for this location.","Konnte keine Paketshops für diesen Standort finden."
"Day","Tag"
"Default rate: ","Default rate: "
"Delivered by {carrier}","Zugestellt von {carrier}"
"Delivery day must be selected before order purchase. Please return to shipping and select delivery date.","Delivery day must be selected before order purchase. Please return to shipping and select delivery date."
"Displayed Error Message","Angezeigte Fehlermeldung"
"edit","bearbeiten"
"Enable Free Shipping Threshold","Schwellenwert für kostenlosen Versand aktivieren"
"Enabled","aktiviert"
"Field ","Feld"
"for support and more information.","für Unterstützung und weitere Informationen."
"Free shipping above: ","Free shipping above: "
"Free Shipping Amount Threshold","Kostenloser Versandbetrag"
"Free shipping: Not Enabled","Free shipping: Not Enabled"
"Fri","Fr."
"Friday","Freitag"
"General Configuration","Allgemeine Konfiguration"
"Handling Fee","Bearbeitungsgebühr"
"Heads Up! The opening times of this service point have changed. If the opening times are still OK to you, click on select again.","Achtung! Die Öffnungszeiten dieses Service Points haben sich geändert. Wenn die Öffnungszeiten für dich noch in Ordnung sind, klicke erneut auf Auswählen."
"If you have questions about your order, you can email us at <a href='mailto:%store_email'>%store_email</a>.","Wenn du Fragen zu deiner Bestellung hast, kannst du uns eine E-Mail an <a href='mailto:%store_email'>%store_email</a> schicken."
"Incl. Tax","Inkl. MwSt"
"Items Shipped","Artikel versendet"
"Method Name","Methodenname"
"Module Enable","Modul aktivieren"
"Mon","Mo."
"Monday","Montag"
"No shipping information available","Keine Versandinformationen verfügbar"
"Not set","Not set"
"Once your package ships we will send you a tracking number.","Sobald Ihr Paket verschickt wird, senden wir Ihnen eine Tracking-Nummer."
"One of the items in your cart is too large to be shipped to a service point.","Einer der Artikel in deinem Warenkorb ist zu groß für den Versand an einen Paketshop."
"Open tomorrow","Morgen geöffnet"
"Opening times","Öffnungszeiten"
"Order Information","Bestellinformationen"
"Order Total","Auftrag insgesamt"
"Payment and Shipping Method","Bezahl- und Versandmethode"
"Payment Information","Zahlungsinformationen"
"Payment Method","Zahlungsmethode"
"Placed on <span class='no-link'>%created_at</span>","Bestellt am <span class='no-link'>%created_at</span>"
"Please select a service point","Bitte wählen Sie eine Servicestelle"
"Please specify a shipping method.","Bitte gib eine Versandart an."
"Plugin version: ","Plugin version: "
"PO box number","Postfachnummer"
"PO box number is required.","Eine Postfachnummer ist erforderlich."
"Post office box","Packstation"
"Price","Preis"
"Sat","Sa."
"Saturday","Samstag"
"Save Address","Adresse speichern"
"Search","Suchen"
"Search for service point locations","Nach Paketshop Locations suchen"
"Select","Auswählen"
"Select location","Ort auswählen"
"Select service point","Servicepunkt auswählen"
"Selected","Ausgewählt"
