" is required."," est requis."
"%customer_name,","%customer_name,"
"%name,","%name,"
"a Full Service Digital Agency.","une agence numérique à service complet."
"Billing Address","Adresse de facturation"
"Billing Info","Informations de facturation"
"Branding","Branding"
"Calculate Handling Fee","Calculer les frais de traitement"
"Cancel","Annuler"
"Change service point","Changer de point de service"
"Connect to Sendcloud","Connectez-vous à Sendcloud"
"Default rate: ","Default rate: "
"Delivery day must be selected before order purchase. Please return to shipping and select delivery date.","Delivery day must be selected before order purchase. Please return to shipping and select delivery date."
"Displayed Error Message","Message d'erreur affiché"
"edit","modifier"
"Enable Free Shipping Threshold","Activer le seuil de livraison gratuite"
"Enabled","Activée"
"Field ","Champ"
"for support and more information.","pour le support et plus d'informations."
"Free shipping above: ","Free shipping above: "
"Free Shipping Amount Threshold","Seuil de livraison gratuite"
"Free shipping: Not Enabled","Free shipping: Not Enabled"
"Fri","Ve"
"General Configuration","Configuration générale"
"Handling Fee","Frais de gestion"
"If you have questions about your order, you can email us at <a href='mailto:%store_email'>%store_email</a>.","Si vous avez des questions sur votre commande, vous pouvez nous envoyer un e-mail à l'adresse <a href='mailto:%store_email'>%store_email </a>."
"Incl. Tax","Incl. Impôt"
"Items Shipped","Articles expédiés"
"Method Name","Nom de la méthode"
"Module Enable","Module activé"
"Mon","Lu"
"No shipping information available","Aucune information d'expédition disponible"
"Not set","Not set"
"Once your package ships we will send you a tracking number.","Une fois votre colis expédié, nous vous enverrons un numéro de suivi."
"Order Information","Informations sur la commande"
"Order Total","Total de la commande"
"Payment &amp; Shipping Method","Paiement &amp; Méthode d'envoi"
"Payment Information","Informations de paiement"
"Payment Method","Mode de paiement"
"Placed on <span class='no-link'>%created_at</span>","Placé sur <span class='no-link'>%created_at</span>"
"Please select a service point","Veuillez sélectionner un point de service"
"Please specify a shipping method.","Veuillez préciser une méthode de livraison."
"Plugin version: ","Plugin version: "
"Price","Prix"
"Sat","Sa"
"Save Address","Enregistrer l'adresse"
"Select service point","Sélectionnez un point de service"
"SendCloud","SendCloud"
"Sendcloud | The Number 1 Shipping Tool | Contact ","Sendcloud | L'outil d'expédition numéro 1 | Contact "
"Sendcloud checkout data missing","Sendcloud checkout data missing"
"SendCloud Magento module developed by","Module SendCloud Magento développé par"
"Sendcloud service point","Point de service Sendcloud"
"Service Point","Point de service"
"Service Point must be selected before order purchase. Please return to shipping and select service point.","La méthode en Point Relais doit être sélectionnée avant la commande. Veuillez retourner dans la section 'mes envois' et sélectionner un point relais. "
"Ship to Applicable Countries","Expédier dans les pays concernés"
"Ship to Specific Countries","Expédier dans des pays spécifiques"
"Ship To:","Envoyez à:"
"Shipment History","Historique des envois"
"Shipping","livraison"
"Shipping &amp; Handling Information","Expédition &amp; Traitement de l'information"
"Shipping Address","Adresse de livraison"
"Shipping and Tracking Information","Informations d'expédition et de suivi"
"Shipping Info","Informations d'expédition"
"Shipping Method","Méthode d'envoi"
"Shipping Method:","Méthode d'envoi:"
"Show Method if Not Applicable","Montrer la méthode si non applicable"
"Sort Order","Ordre de tri"
"Sun","Di"
"Thank you for your order from %store_name.","Merci pour votre commande de %store_name."
"The order was placed using %1.","La commande a été passée en utilisant%1."
"This feature is not available in Global view. To access it, please select a store view.","This feature is not available in Global view. To access it, please select a store view."
"Thu","Je"
"Title","Titre"
"Total Shipping Charges","Total des frais d'expédition"
"Track Order","Suivi de commande"
"Track this shipment","Suivre cette expédition"
"Tue","Ma"
"We allow global connection to Sendcloud for legacy purposes. To use new delivery methods such as nominated day or embedded service points, please switch to store view and connect it to Sendcloud. Please be aware if you keep both global and store view connection to Sendcloud, you may have double orders for that store.","We allow global connection to Sendcloud for legacy purposes. To use new delivery methods such as nominated day or embedded service points, please switch to store view and connect it to Sendcloud. Please be aware if you keep both global and store view connection to Sendcloud, you may have double orders for that store."
"Wed","Me"
"You can check the status of your order by <a href='%account_url'>logging into your account</a>.","Vous pouvez vérifier le statut de votre commande en <a href='%account_url'> en vous connectant à votre compte </a>."
"Your %store_name order confirmation","Votre confirmation de commande %store_name"
"Your %store_name order has shipped","Votre commande %store_name a été expédiée"
"Your Order <span class='no-link'>#%increment_id</span>","Votre commande <span class='no-link'>#%increment_id</span>"
"Your Shipment #%shipment_id for Order #%order_id","Votre envoi #%shipping_id pour la commande #%order_id"
"Your shipping confirmation is below. Thank you again for your business.","Votre confirmation d'expédition est ci-dessous. Merci encore pour vos affaires."
